"protein","repeatID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cutoff","356bp_SAT",134.199408368919,-1.48396118669202,0.825492497172434,-1.79766768538182,0.0722296852265634,0.999493774883461
"Cutoff","260bp_SAT",85.1432407338056,-0.771749272175443,0.824967800050514,-0.93549017565072,0.3495357439946,0.999493774883461
"Cutoff","353bp_SAT",791.471318660809,0.311966816510737,0.679100519171179,0.45938238552885,0.645959595126077,0.999493774883461
"Cutoff","359bp_SAT",983.674787279984,-0.24273048089944,0.669391666607857,-0.362613538542356,0.71689359539206,0.999493774883461
"Deadlock","356bp_SAT",96.3189338654802,-1.54332564311858,0.87379615236324,-1.76623076096702,0.0773571423003194,0.998596333093061
"Deadlock","353bp_SAT",666.45880893373,0.828323860244061,0.685067959430947,1.20911195574248,0.226619836605362,0.998596333093061
"Deadlock","260bp_SAT",66.2802779945259,-0.349631522086504,0.865541072124143,-0.403945616616974,0.686252710810214,0.998596333093061
"Deadlock","359bp_SAT",754.274332354412,0.0250772635154105,0.676962818145579,0.037043782676433,0.970450096152295,0.998596333093061
"Moonshiner","260bp_SAT",113.277267941685,-1.21259721247453,0.241949286650914,-5.01178254856386,5.39281253573004e-07,1.03862838900168e-05
"Moonshiner","356bp_SAT",114.589469182028,-1.10059390154437,0.249467127188798,-4.41177927507634,1.02524602480815e-05,0.000169555633341913
"Moonshiner","353bp_SAT",724.004046844306,-0.430211010011762,0.116452769736413,-3.69429607372613,0.000220496767062626,0.00310635028783135
"Moonshiner","359bp_SAT",1154.63427772958,-0.0954118296411698,0.10000987575031,-0.954024079375717,0.340071453856484,0.999148842925337
"Rhino","356bp_SAT",109.87676711407,-1.4737615774236,0.356924213436815,-4.12906023727777,3.64248973302253e-05,0.000780931238302791
"Rhino","260bp_SAT",104.465366029385,-0.748862531291883,0.299675811219944,-2.49890883165829,0.0124576355196915,0.155305189478821
"Rhino","359bp_SAT",1001.79419811281,-0.222950420314433,0.215343067734458,-1.03532666577108,0.300516380689512,0.999094376817147
"Rhino","353bp_SAT",721.869347863945,-0.0639948849086768,0.266110095416257,-0.240482740080094,0.809956042145497,0.999094376817147
